feature,value_auc,category_rate_auc,missingness_auc,value_auc_sep,category_rate_auc_sep,missingness_auc_sep,flagged
F3106,0.29729816750073595,,0.38357535033830265,0.702701832499264,,0.6164246496616974,False
F1070,0.2980415257507164,,0.49944450616598157,0.7019584742492836,,0.5005554938340184,False
F1064,0.2980415257507164,,0.49944450616598157,0.7019584742492836,,0.5005554938340184,False
F2882,0.29814814814814816,,0.4622689385678683,0.7018518518518518,,0.5377310614321317,False
F2879,0.29814814814814816,,0.4622689385678683,0.7018518518518518,,0.5377310614321317,False
F147,0.7009037905481206,0.7151716728025408,0.5677510454942593,0.7009037905481206,0.7151716728025408,0.5677510454942593,False
F2518,0.29922027290448344,,0.485606537545211,0.7007797270955165,,0.514393462454789,False
F556,0.7002776651171497,,0.5701396689805385,0.7002776651171497,,0.5701396689805385,False
F145,0.6999283075916026,0.7171500709131431,0.5703063171307441,0.6999283075916026,0.7171500709131431,0.5703063171307441,False
F2477,0.30011574074074077,,0.4622689385678683,0.6998842592592592,,0.5377310614321317,False
F1604,0.3004513562665172,,0.499277858015776,0.6995486437334828,,0.500722141984224,False
F1610,0.3004513562665172,,0.499277858015776,0.6995486437334828,,0.500722141984224,False
F963,0.3013980777289997,,0.4991112098655705,0.6986019222710003,,0.5008887901344294,False
F957,0.3013980777289997,,0.4991112098655705,0.6986019222710003,,0.5008887901344294,False
F160,0.698560008760403,,0.38663056642540405,0.698560008760403,,0.613369433574596,False
F1934,0.30148222321119517,,0.499277858015776,0.6985177767888049,,0.500722141984224,False
F1928,0.30148222321119517,,0.499277858015776,0.6985177767888049,,0.500722141984224,False
F49,0.6971634178718648,0.7089708656466149,0.4809129575451836,0.6971634178718648,0.7089708656466149,0.5190870424548164,False
F2400,0.3035762483130904,,0.5514599886706689,0.6964237516869096,,0.5514599886706689,False
F2828,0.6956815114709851,,0.485606537545211,0.6956815114709851,,0.514393462454789,False
F2486,0.30476222453524937,,0.32647744214977487,0.6952377754647506,,0.6735225578502251,False
F561,0.6951464448380567,,0.5675843973440536,0.6951464448380567,,0.5675843973440536,False
F1394,0.3056053309825601,,0.49944450616598157,0.6943946690174398,,0.5005554938340184,False
F1388,0.3056053309825601,,0.49944450616598157,0.6943946690174398,,0.5005554938340184,False
F2478,0.3056591096276388,,0.550345572028348,0.6943408903723611,,0.550345572028348,False
F3750,0.6940874088890535,,0.4998889012331963,0.6940874088890535,,0.5001110987668037,False
F3642,0.6934174672560981,,0.4998333518497945,0.6934174672560981,,0.5001666481502055,False
F267,0.6925964599347441,,0.33086584343852055,0.6925964599347441,,0.6691341565614795,False
F3534,0.6924802967465779,,0.4995556049327852,0.6924802967465779,,0.5004443950672148,False
F268,0.6923128195763332,,0.3864083688917967,0.6923128195763332,,0.6135916311082033,False
F265,0.6922826880934989,,0.3864083688917967,0.6922826880934989,,0.6135916311082033,False
F1287,0.30810266768345046,,0.4991112098655705,0.6918973323165496,,0.5008887901344294,False
F1281,0.30810266768345046,,0.4991112098655705,0.6918973323165496,,0.5008887901344294,False
F1747,0.30814850503902463,,0.4996111543161871,0.6918514949609753,,0.5003888456838129,False
F2487,0.3082646449930992,,0.36841036866959914,0.6917353550069008,,0.6315896313304008,False
F559,0.6913939412847471,,0.5701396689805385,0.6913939412847471,,0.5701396689805385,False
F47,0.6913301422503876,0.7057574327512978,0.48313493288125736,0.6913301422503876,0.7057574327512978,0.5168650671187427,False
F2071,0.30902151502922387,,0.4996111543161871,0.6909784849707761,,0.5003888456838129,False
F2484,0.30972722741910746,,0.36841036866959914,0.6902727725808926,,0.6315896313304008,False
F1856,0.31098226157690423,,0.49977780246639264,0.6890177384230958,,0.5002221975336074,False
F1867,0.31124846828229435,,0.49977780246639264,0.6887515317177056,,0.5002221975336074,False
F2387,0.3114730843652822,,0.32958820762027813,0.6885269156347178,,0.6704117923797219,False
F379,0.31187002652519896,,0.5529042726391169,0.688129973474801,,0.5529042726391169,False
F962,0.3122075887796533,,0.4991112098655705,0.6877924112203466,,0.5008887901344294,False
F956,0.3122075887796533,,0.4991112098655705,0.6877924112203466,,0.5008887901344294,False
F459,0.6875602395360962,,0.5677510454942593,0.6875602395360962,,0.5677510454942593,False
